feature,importance
Contract,0.11091342994751681
tenure,0.06914754260181352
TotalCharges,0.023344254008517383
MonthlyCharges,0.022080314235064603
PaymentMethod,0.0066993732761727156
InternetService,0.003093761367042469
OnlineSecurity,0.0023300436291839423
PaperlessBilling,0.0022069737915951793
MultipleLines,0.0018450434909182967
Dependents,0.001304067870365766
SeniorCitizen,0.0010642387871265813
PhoneService,0.0007853762110537233
TechSupport,0.000764724343113543
StreamingTV,0.000725118541380132
StreamingMovies,0.0006109321534384371
OnlineBackup,0.0002175090361497878
DeviceProtection,0.00017585393805759076
Partner,5.0735437195692515e-06
gender,-1.57258330404364e-06
